id,x,y
1,3.6321281929513187,1.388972490709679
2,5.446868414077436,1.6625988255402353
3,4.604016648407667,1.4423718044744558
4,4.369919440818961,0.8524715118671568
5,6.12776154811272,1.494695333446425
6,4.727857091636221,0.8045615294147687
7,5.931200659999872,0.5706208677619502
8,4.143503542036353,2.054918805221349
9,4.701244934903836,1.37820288086967
10,4.789453595028253,0.47478930573598654
11,4.067567609150529,5.196640608940766
12,2.2180064101068817,7.0094053466511586
13,3.000876896020252,4.346207590192496
14,3.8178413745840736,3.882606918998941
15,2.250963564436642,4.6406157320498655
16,3.4011224942155582,4.893611655804739
17,2.907174036235571,5.607312893595212
18,4.589477480945322,5.869030443244645
19,1.8648930945570101,6.376733970247634
20,3.191396152966829,5.187277717078257
21,4.128556078822991,6.788853189995214
22,2.7074396439743373,4.3952877843378895
23,3.4345186275950437,4.26197653146374
24,3.157766879765205,4.728041402189304
25,3.708032081649849,7.020164840617849
26,1.6299800747916877,4.772906092306175
27,5.152300202732757,3.8012047112231233
28,1.2236090863428266,5.824029269457163
29,2.5572005634550865,3.7912693385666496
30,2.27334827572341,5.249855264843729
31,1.3993436243137642,1.774500386240011
32,1.0952551281634597,2.166529742796
33,0.8354282043637842,2.2517467357962784
34,1.3862236146059903,2.3798688863001436
35,0.2740411156276943,1.0856835588292775
36,1.477871695201225,2.2598696885390197
37,1.2335497670535842,1.5795210122124343
38,0.7668566542075321,2.411687956617975
39,0.2577161495334547,1.000355465308231
40,0.4969177958588711,2.0357345478021927
